"prompt","completion"
"What is MetaPath?","MetaPath is a NFT aggregator."
"swft的网站是什么","swft的全名是swft blockchain，2017年成立于美国硅谷，网站上swft.pro"
"SWFT 成立在哪年","2017"
"请问SCU中文全名是什么大学","是圣塔克拉拉大学"
"Can you briefly introduce SWFT Blockchain","5 years of experience in building the best cross-chain swaps!  •Large selection of cryptocurrencies and up to 40,000 swap pairs!   •50+ blockchain supported  •Get up to 50% off on swap fees with SWFTCoin  •Faster swaps, completed in less than a minute!   •24/7 real customer support   •Trusted by Coinbase. SWFT's native token, SwftCoin (SWFTC), is listed on Coinbase, and SWFT DAapp has been featured in Coinbase Wallet  TokenPocket, Okex Wallet, iToken, Bitkeep, MathWallet, Huobi Wallet, Kucoin Wallet"
"什么是swft swft希望跟合作伙伴做什么","Swft.pro是一个已经运营了5年的跨链平台，该平台提供超过500种币的同链和跨链兑换服务，并且旗下的平台币SWFTC已经成功上线了Coinbase。SWFT内置在超过150个钱包中，包括Coinbase wallet、TP钱包、bitkeep、麦子钱包、火币钱包、okx钱包、onekey、ledger等，为这些钱包用户提供跨链平台闪兑服务，并且提供手续费分成。Swft.pro希望能够与其他合作伙伴一起合作，为更多用户提供高质量的跨链服务。"
"什么是allchainbridge 优点是什么","AllChain Bridge是一家去中心化的跨链和闪兑平台，旨在帮助用户实现不同币种之间的快速、安全、低成本的兑换。该平台支持超过30条链和500多个币种的一键跨链兑换服务，并提供同EVM链的币的闪兑和跨链币的闪兑服务。AllChain Bridge采用去中心化技术，保证了平台的安全性和可靠性，同时用户的资产在兑换过程中完全受到保护，不会受到任何损失。  AllChain Bridge的优点包括：  大量支持的币种和钱包：AllChain Bridge支持超过30条链和500多个币种的一键跨链兑换服务，并已经与150多个钱包和平台合作，为他们提供跨链和闪兑服务，包括Coinbase wallet、TokenPocket、BitKeep、HyperPay、Ellipal等。 安全可靠：AllChain Bridge采用去中心化技术，保证了平台的安全性和可靠性。同时，用户的资产在兑换过程中完全受到保护，不会受到任何损失。 同EVM链的币的闪兑和跨链币的闪兑服务：AllChain Bridge不仅支持跨链兑换，还是同EVM链的币的闪兑平台，让用户可以在不同币种之间进行快速、安全、低成本的兑换。 AllChain Bridge的合作伙伴包括：150多个钱包和平台，以及许多项目方和社区，包括Polkadot、BSC、TRON等。  AllChain Bridge的官方网站为defi.swft.pro和allchainbridge.com"
"tell me more about SWFT Blockchain","Platform & Services   SWFT Blockchain mobile app   • Swap crypto instantly   •  Manage your assets  • Built in Spot trading platform with BTC, ETH, USDT & SWFTC pairs  • Send & Receive Payments   • Share Red envelops   SWFT AllChain Bridge   • Swap over 400 cryptocurrencies  • 30+ Blockchain including top EVM Chains  • Supports 40 decentralized wallets    • Buy and Sell NFTs and GameFi assets with over 400+ cryptocurrencies   Bridgers  • 101% decentralized cross-chain swap   • Supports 13 networks  • NO KYC & NO Registration  • Unlimited swaps, NO Limits  • Experience faster cross-chain swaps"
"Is there a way to increase the limit in my SWFT Blockchain account?","Yes, your account's existing limit will be removed once you pass the KYC."
"Are there bonuses to the token holders?","Yes! Users who hold SWFTC can enjoy a 50% discount on swap fees!"
"What is actual circulating Supply?","Please check with CMC: https://coinmarketcap.com/currencies/swftcoin/"
"I deposit a coin/token in the app but it is not credited?","You can check the status of your deposit by searching the transaction hash or ID on the blockchain explorer. This will show you the current status of the transaction, whether it has been confirmed or is still pending."
"How many confirmation does it need for my deposit to reflect in my SWFTCoin account?","Most blockchain networks require a certain number of confirmations before a transaction is considered finalized.. For popular blockchains like Bitcoin, Ethereum, and Binance Smart Chain, it typically takes between 1 to 60 confirmations for a deposit to reflect in your SWFTCoin account."
"Do you have any new upcoming exchanges?","Follow us to our social media channels to get updated on latest news and update"
"As per road map are we still on track?","Our roadmap is completed and achieved in 2018. For more news and updates please follow us on social media and join our community."
"Are there any limits in swapping cryptocurrencies?","Yes, for SWFT AllChain Bridge the current 24h limit is $10,000 and no exchange limit if you use Bridgers.xyz"
"How does Draper Dragon involve?","SWFT Blockchain received investment from Draper Dragon in 2018."
"Is SWFTCoin is Ethereum based tokens(ERC20)?","Yes, SWFTCoin was first issued on Ethereum Network and is now available on BSC, HECO, & ETHF."
"Is there any upcoming events/partnership?","Follow us on social media and join our community to be updated on the latest news and updates."
"I didn't get a reward for referral?","Please contact our customer service on Telegram or send us an email on contact@swft.pro."
"How to find the referral code?","Open SWFT Blockchain mobile app, navigate to “Profile” and from there click “Invite Friends”."
"How to integrate SWFT API into an exchange?","Please visit our documentation at labs.en.swft.pro or contact us by sending an email to contact@swft.pro and one of our BD Managers will reach out to you."
"What is the ICO price?","We didn’t conduct any ICO for SWFTCoin."
